Entendido. A continuación, presento la tabla con los hallazgos del reporte, utilizando **exactamente la misma redacción** en inglés del documento original para las descripciones, impactos y recomendaciones, respetando la estructura solicitada de 4 columnas con encabezados en español.
### **Resumen de Hallazgos de Penetration Testing**
| Nombre de Issue | Descripción | Impacto | Recomendación |
|---|---|---|---|
| **BUSINESS LOGIC FLAW (CMS)** | Testing revealed that a Business Logic Flaw existed within the assessed application. Attacks on the business logic of an application can have significant impacts, furthermore, are difficult to identify as they are specific to the application being tested and require an understanding of that application - manual testing is typically required to highlight these. Business logic flaws may affect business rules, policies or workflows based on ordered tasks from one participant or stage to another. The Business Logic Flaw identified is that an unauthorized client (attacker) can be able to upload files / contracts of any extension for different users, after that it is possible to visualize the information without required any token (without authentication). | This can lead to a wide range of problems like information exposure. An attacker could upload and read sensitive data of the different clients requesting the URLs of the web application without an authentication token. | Modify the application's logic so that it maps (and enforces) business rules, policies and/or workflows throughout. For web applications, make sure that the access control mechanism is enforced correctly at the server side on every page. Users should not be able to access any unauthorized functionality or information by simply requesting direct access to that page. A review should be undertaken to determine which file types are expected to be received. Only these files should be allowed to be uploaded, any not on an explicitly accepted list must be blocked at source. |
| **UNRESTRICTED FILE UPLOAD (CMS)** | It was found that the web application doesn’t validate properly the session identifiers prior to upload files, this could allow an attacker to interact with the application without supplying credentials (an access control token). | An attacker may be able to bypass critical parts of the application functionality and files can be uploaded which could contain malicious code. | Modify the application's logic so that it maps (and enforces) business rules, policies and/or workflows throughout. For web applications, make sure that the access control mechanism is enforced correctly at the server side on every page. Users should not be able to access any unauthorized functionality or information by simply requesting direct access to that page. |
| **UNRESTRICTED FILE DOWNLOAD (CMS)** | It was found that the web application doesn’t validate properly the session identifiers prior to process request to display client information, this could allow an attacker to interact with the application without supplying credentials (an access control token). | An attacker may be able to bypass critical parts of the application functionality (authorization or authentication bypass for example) and obtain client information. | For web applications, make sure that the access control mechanism is enforced correctly at the server side on every page. Users should not be able to access any unauthorized functionality or information by simply requesting direct access to that page. One way to do this is to ensure that all pages containing sensitive information are not cached, and that all such pages restrict access to requests that are accompanied by an active and authenticated session token associated with a user who has the required permissions to access that page. |
| **FILES OF ANY FORMAT CAN BE UPLOADED (CMS)** | The application allows files to be uploaded without verification that the file type is as expected. Attempt to upload a file with a script embedded “PDFXSS.pdf”. Attempt to upload an executable file, like: .exe. | Some file types can be uploaded that run programmes which could contain malicious code. This could lead to a virus being introduced, or code that changes the way the application is intended to behave. | A review should be undertaken to determine which file types are expected to be received. Only these files should be allowed to be uploaded, any not on an explicitly accepted list must be blocked at source. |
| **BROKEN AUTHENTICATION (CMS)** | It was found that the web application doesn’t validate properly the session identifiers prior to process requests, this allows an attacker to interact with the application without supplying credentials (an access control token). In other words, it is possible to bypass the authentication mechanism by directly calling an internal page that should only be available to a user once they have authenticated. | A malicious user could exploit this vulnerability to access sensitive information and/or application functionality without authenticating. | Validate properly the session identifiers (token) prior to process requests. It must be ensured that access controls are deployed uniformly throughout the application. Preventing unauthorized URL access requires selecting an approach for requiring proper authentication and proper authorization for each page of all module or options of the application. |
| **PRIVILEGE ESCALATION (CMS)** | Privilege escalation occurs when a user gets access to more resources or functionality than they are normally allowed, and such elevation or changes should have been prevented by the application. It was identified that is possible to upload files for any other user, knowing that the ID of user. | The result is that the application performs actions with more privileges than those intended by the developer or system administrator. | Application must ensure server-side validation and access controls to prevent client-side manipulation. Also, entitlements on server-side must ensure the client session is allowed to the object being requested or action being performed. User privileges and application features should be linked in RBAC models whenever possible. |
| **ABUSE OF OTP FUNCTIONALITY (CMS)** | The application allows users to manipulate the recipient email address during the OTP (One-Time Password) delivery process. As a result, it enables an attacker to redirect the OTP to an arbitrary email address just changing the identification number of a user without authentication. | An attacker can redirect the OTP emails to other users of the web application and know emails of other clients. | All client-side input should be validated before being processed by the application using data validation techniques. The backend must strictly enforce OTP delivery only to the email address associated with the authenticated user or the account being verified. Use an authorization mechanism to check if the logged-in user has access to perform the requested action. |
| **TWO FACTOR AUTHENTICATION BYPASS (CMS)** | An attacker with valid credentials (e.g. obtained through a phishing or brute force attack), can drop the verification OTP request through a proxy and log in successfully, completely bypassing the second factor authentication. The authentication token (Fepweb-Jwt-Token) is issued before the OTP is validated. | The bypass allows attackers with valid credentials (e.g. from phishing or credential stuffing) to gain full access to accounts without needing the second factor, defeating the purpose of 2FA entirely. | Implement strict server-side controls that enforce 2FA completion before granting access to sensitive areas or actions. Consider using separate token states (e.g. auth_status: “2fa_pending” vs. “authenticated”) and enforce checks on the backend. |
| **USER ENUMERATION OTP (CMS)** | The system advises whether a customer’s email client exists or not. In the response of the request is it possible to see an email of a user. An attacker could be able to guess different emails iterating numbers. | Iterating possible numbers of users gives an attacker an increased probability of obtaining unauthorized access. It could also be used to send OTP emails. | Amend the message given the request OTP is sent. |
| **MULTIPLE SESSION ALLOWED (CMS)** | Multiple simultaneous logons (sessions) are allowed using the same user ID. Interact with both web pages at the same time is possible. | If application allows concurrent logons of a single user and an attacker gains access to user credentials then that attacker can use the application simultaneously with a legitimate user, which will make auditing of malicious activity harder to track. | A best practice security measure is to ensure users are restricted to a single logon. Unless a valid business justification exists, multiple logons should not be allowed. If the web application does not want to allow simultaneous session logons, it must take effective actions after each new authentication event, implicitly terminating the previously available session. |
| **ABUSE OF OTP FUNCTIONALITY (DOM)** | The application allows users to manipulate the recipient email address during the OTP (One-Time Password) delivery process. As a result, it enables an attacker to redirect the OTP to an arbitrary email address just changing the identification number of a user without authentication. | An attacker can redirect the OTP emails to other users of the web application and know emails of other clients. | All client-side input should be validated before being processed by the application using data validation techniques. The backend must strictly enforce OTP delivery only to the email address associated with the authenticated user or the account being verified. Use an authorization mechanism to check if the logged-in user has access to perform the requested action. |
| **TWO FACTOR AUTHENTICATION BYPASS (DOM)** | An attacker with valid credentials (e.g., obtained through a phishing or brute force attack), can drop the verification OTP request through a proxy and log in successfully, completely bypassing the second factor authentication. | The bypass allows attackers with valid credentials (e.g. from phishing or credential stuffing) to gain full access to accounts without needing the second factor, defeating the purpose of 2FA entirely. | Implement strict server-side controls that enforce 2FA completion before granting access to sensitive areas or actions. Consider using separate token states (e.g., auth_status: “2fa_pending” vs. “authenticated”) and enforce checks on the backend. |
| **USER ENUMERATION OTP (DOM)** | The system advises whether a customer’s email client exists or not. An attacker could be able to guess different emails iterating numbers. | Iterating numbers gives an attacker an increased probability of obtaining emails of users. It could also be used to send OTP emails. | Amend the message given the request OTP is sent. |
| **AUTHENTICATION BYPASS (API)** | The API endpoint responsible for user authentication improperly handles input validation for the password parameter. When submitting a space character, the API grants a valid session cookie as if correct credentials were provided. | Authentication bypass for any account with a known username. | All server-side input should be validated before being processed by the application using data validation techniques. |
| **UNRESTRICTED FILE UPLOAD (API)** | The API allows files to be uploaded without validate the session identifiers, this could allow an attacker to interact with the application without supplying credentials (an access control token). | An attacker may be able to bypass critical parts of the application functionality and files can be uploaded which could contain malicious code. | Modify the application's logic so that it maps (and enforces) business rules, policies and/or workflows throughout. For APIs, make sure that the access control mechanism is enforced correctly at the server side on every endpoint. Users should not be able to access any unauthorized functionality or information without authentication/authorization. |
| **FILES ON ANY FORMAT CAN BE UPLOADED (API)** | The API allows files to be uploaded without verification that the file type is as expected. It was identified that is also possible upload files, like executable files (.exe). | Some file types can be uploaded that run programs which could contain malicious code. This could lead to a virus being introduced, or code that changes the way the application is intended to behave. | A review should be undertaken to determine which file types are expected to be received. Only these files should be allowed to be uploaded, any not on an explicitly accepted list must be blocked at source. The application must validate at least: File type/extension, Headers of the file, Content of the file. |
| **CONTENT-SECURITY-POLICY HEADER NOT SET (CMS)** | Content-Security-Policy Header found Not Set by application. It was identified that the header Content-Security-Policy is missing in the response of the web application. | Server response may be altered by man-in-the-middle attack. | Set Content-Security-Policy Header. |
| **IMPROPER CACHE CONTROL HEADER IS USED (CMS)** | The settings used to secure cache control headers are incorrectly configured. The Cache control header does not contain the directives Pragma: no-cache Cache-Control: no-store, no-cache, must-revalidate. | This can result in sensitive information being stored locally on the computer. An attacker can use the information stored in these to gain an insight into the workings of the application or to obtain sensitive information. | The mechanism must be configured correctly, as follows: Pragma: no-cache Cache-Control: no-store, no-cache, must-revalidate in whole application. |
| **MISCONFIGURED CORS POLICY HEADER (CMS)** | The Cross-origin resource sharing (CORS) header is not properly set. The web application is configured to allow cross-origin requests from any origin (Access-Control-Allow-Origin: *). | This configuration may expose the application to Cross-Origin attacks, such as unauthorized API interactions from malicious websites. Attackers may perform unauthorized state-changing actions and / or steal user tokens. | For all web application requests (in a globally way) set the Access-Control-Allow-Origin properly to only accept request from the authorized domains. Avoid using Access-Control-Allow-Origin: *. |
